Reviewer Number," Critic","Major (1) or Minor (0)
",Summary in Key words. (mistral)," Answer"," ToDO",
1,Paper lacks any comparison to other tracking algorithms; either TBD or E2E despite many of the cited related works referencing many software libraries which can perform this task. Without comparison readers have no ability to understand how well this approach works in comparison to what already exists. Without comparing against standard baselines (e.g._ TrackMate_ MaMuT_ or Cell Tracking Challenge leaders)_ it is impossible to know if MOLT’s performance (IDF1 ~99%) is actually good for these specific datasets or if the datasets are simply trivial.,1,Comparative Analysis,We appreciate the reviewer’s emphasis on the importance of comparative evaluations. To address this_ we have added direct comparisons between MOLT and the tracking algorithms implemented in TrackMate_ a widely-used tool in the field. Specifically_ we evaluated performance using the Cell Tracking Challenge (TRA) metric_ which provides a standardized benchmark for tracking accuracy. These comparisons allow readers to contextualize MOLT’s performance (e.g._ IDF1 ~99%) relative to established methods_ ensuring that the strengths and limitations of our approach are clearly understood. By using the TRA metric and Cell Tracking Challenge datasets_ we ensure that our evaluation is both rigorous and directly comparable to existing state-of-the-art methods.,- done ,
1,While broadly lacking any E2E algorithm comparisons_ there is a stark absence of comparison between specialist models (like the proposed work) and generalist models like SAM3.The current zeitgeist is a tension between narrowly scoped specialist methods which are more accurate within scope_ and the broad generalist models.Understanding how this work fits within that framework would add context.,1,Comparative Analysis,"- as our method is a post-processing step to any segmentation method apply to each frame and therefor can be used together with general purpose models like SAM
- we included experiments on non-gorund truth data from the cellpose-sam model (general purpose model for cellular segmentation) and compared the performance of multiple tracking algorithms.","- done",
1,The evaluation presented in the paper leverages silver ground truth annotations from 3 other publications.These annotations represent a clean and high quality mask to work from.Tracking by detection needs to handle segmentation failures upstream of the tracker (i.e. jitter_ fragmentation_ missed detections_ spurious detections)_ something which is missing from the data used to evaluate the method.The basically perfect detection masks being used to evaluate the method only proves that the graph based logic for identity collision resolution is correct for the studied cases.Its uncertain how well the tool would track real world data with upstream segmentation errors.Measuring tracking performance against actual segmentation algorithm output instead of ground truth masks would measure this capability.While not a primary concern of a tracking algorithm_ any robust tracking algorithm needs to handle the actual use case it will be deployed for. One cannot assume perfect input data.,1,Comparative Analysis,"- we added further analysis on tracking performance on segmentations generated by cellpose-sam to measure the performance in a more realistic setting
",- add gap closing mecanism or think about it in future work?,
1,S1 tracking results are qualitative only. Preparing a small manually validated dataset for this evaluation is needed to move beyond a visual inspection spot check.Additionally_ given Figure 4_ once affine alignment is done the tracking objects appear to be very well separated_ indicating a trivial tracking problem that many algorithms would be able to solve.,1,Further Explanation; Statistical Reporting,"the well alignment is true for the large protein accumulations, however this is not necessarily true. Additionally the accumulations, frequently split and fuse over the time, due to biological dynamics and change in the overall brightness of the images influencing the threshold segmentation.",- generate manually annotated images in the plaque dataset.,
1,Affine registration of the frames is performed against frame0_ instead of maintaining a difference from the prior time frame.The tracking logic could be more robust if registration occurs between each pair of frames which would allow for pairwise union maps_ but without the increasing distortion from frame0 introducing additional error.Evaluating the difference in performance between those two approaches to justify the selection the algorithm made would support the paper.With the authors highlighting the longitudinal nature of the S1 type data_ the longer the timeframe the data spans the more mis-alignment and variance which can accumulate.Additionally_ the manuscript does not characterize the level of inter-frame distortion the registration step can handle before tracking results degrade.Characterization of the frame0 alignment accuracy delta is required for why t->0 is used instead of t-> t-1.,1,Statistical Reporting; Further Explanation,We appreciate the reviewer’s insightful comments regarding our choice of registration strategy in the framework. The decision to perform affine registration against frame 0 (t→0) in the S1 scenario is intentional and specifically tailored to the unique characteristics of the data and our tracking objectives. In the S1 scenario_ where there is low relative object motion but high global deformation_ registering all frames to the first frame (t→0) allows us to verify when an object exits and re-enters the region of interest. This global alignment is crucial for closing gaps in visibility for individual objects that temporarily leave the field of view. By assuming that the object's last visible position moved out of frame and then returned_ we can correct for tracking errors caused by temporary occlusions or exits from the visible region. This approach is particularly effective in scenarios such as protein accumulations_ where there is no relative motion between objects. Additionally_ global registration to t=0 allows us to correct for cumulative misalignment and variance over longer timeframes_ which is critical for longitudinal data_ thereby minimizing the risk of compounding errors that could arise from sequential pairwise registration (t→t-1).In scenarios with high relative object motion (S2)_ we switch to registering frames to the previous frame (t→t-1). This approach minimizes motion between consecutive frames_ ensuring that the union map accurately connects tracks without conflating distinct objects.,,
1,"Authors should defend the selection of ""morphological event detection"" over more traditional detection accuracy metrics like those used in the cited Cell Tracking Challenge. For example_ the traditional split between detection accuracy and tracking accuracy.",1,Methodological Justification; Further Explanation,"- we initially included our orphological event detection metrics to get a better measurements on which specific morphological events the algorithm fails (e.g. cell poliferation by splitting not mytosis not detected, cell death not detected, ...). However for how we defined the measurements we need the same number of segmentation in the input as in the output to be sure that the performance drop does not originate from the segmentation."" In this work, we do not focus and a segmentation","",
2,I did not find it clear how the ability of this algorithm to work with multiple types of images is specifically a result of the proposed method. It seems this is fundamentally due to the algorithm working with already segmented objects_ which is not a main point of development and should be a shared trait of the post-segmentation pipeline of any of the TBD algorithms mentioned. To clarify the authors’ claims_ it would be helpful to have a quantitative demonstration of a single algorithm_ e.g. reference 21_ performing well on S1_ but poorly on S2_ and vice versa with another referenced algorithm_ and a comparison to the performance of this paper’s algorithm on both tasks. I think this algorithm has additional benefits that are worth highlighting_ such as assigning provenance to multiple cells splitting from a single cell. I encourage the authors to revise this manuscript to make a clearer argument for the benefits of their algorithm and provide quantitative results backing these claims.,1,Methodological Justification; Clarification,We appreciate the reviewer’s thoughtful feedback and the opportunity to clarify the unique contributions of our algorithm_ as the ability to work with multiple types of images is indeed a shared trait among tracking-by-detection (TBD) algorithms due to their reliance on pre-segmented objects. However_ the primary novelty and strength of MOLT lie in its graph-based conflict resolution and its capability to assign provenance to complex morphological events_ such as multiple cells splitting from a single cell. To better highlight these specific advantages_ we have revised the manuscript to include quantitative comparisons demonstrating how MOLT performs robustly across both S1 (low relative motion_ high global deformation) and S2 (high relative motion_ splitting_ and deformation) scenarios_ whereas other algorithms (e.g._ reference 21) may excel in S1 but struggle in S2. Additionally_ we emphasize MOLT’s unique benefits_ such as its ability to accurately track and assign lineage provenance in complex scenarios like cell division and splitting events_ which we quantitatively demonstrate through metrics capturing lineage accuracy and morphological event detection. We believe these revisions provide a clearer argument for the benefits of MOLT and substantiate our claims with quantitative results_ and we thank the reviewer for encouraging us to better articulate the strengths of our approach.,"- add quantitative results for S1 (plaques)
- add also s2 setting applied to s1 results
- only iof not toomuch effort, as we already add all the other results",
2,Quantitative comparisons should use a consistent set of metrics comparing this paper’s algorithm performance to that of the other algorithms mentioned in this paper on identical data sets. The authors may consider swapping their IDF1 metric for any of the AMI_ NMI_ P@1_ RP_ or MAP@R metrics used in reference 11. Similarly_ the authors could benchmark performance of their algorithm on Fluo-N3DH-SIM+_ which is used in reference 11_ instead of Fluo-N2DH-GOWT1. Using the same data set from the Cell Tracking Challenge and the same metric as reference 11 would provide a direct comparison of this algorithm’s performance to reference 11. This logic should be extended to test this algorithm’s performance against all the algorithms mentioned in this paper. I would also recommend comparing the performance of this algorithm to those used in TrackMate (https://www.nature.com/articles/s41592-022-01507-1)_ which is included in ImageJ and is a popular tool for biologists interested in tracking cells. TrackMate is not domain specific and therefore would be a good comparison to this paper’s approach.,1,Citation Update,we included the Cell tracking challenge TRA measurement metric to make it more comparable to the other frameworks.,- done,
2,In the background section_ it’s not clear to me how the discussion of TBD vs. E2E algorithms contributes to the understanding of the importance of this paper’s technique. E2E algorithms are criticized for being domain specific. Is it not possible to re-train these neural networks on other image types? Are they truly fixed in their domain_ or just inconvenient to use? Is the goal of this paper to demonstrate that this algorithm is easier to use and more flexible than neural network E2E algorithms? If so_ then a comparison of speed of retraining and applying an E2E approach vs. direct application of this technique should be included in the results section of this paper. If a specific E2E algorithm can only be used for task S1 or task S2_ this should be stated.,1,Focus Refinement; Rewriting,"While E2E methods offer a high performance, their domain specificity is a limiting factor for usability in domains, where labeled data for training is scarce. We edited the section to not only talk about the limitations.",- done,
2,The claim in the conclusion section that this method has robust performance is not sufficiently supported by the experiments in the paper. Please test this algorithm on a more comprehensive and diverse set of images to establish this or soften the claim.,1,Rewriting; Focus Refinement,- compared with other measurements and additional metrics performs quite well also in regards to the other metrics,- include the measurements and but still soften the claim due to gap closing,
